segment,index,x,y,yaw
0,525,0.5650,0.2723,-3.1120
0,526,0.4151,0.2679,-3.1120
1,0,0.9287,-1.7109,0.0555
1,1,1.0783,-1.7026,0.0555
1,2,1.2279,-1.6943,0.0279
1,3,1.3775,-1.6901,-0.0950
1,4,1.5266,-1.7043,-0.3858
1,5,1.6575,-1.7575,-0.3711
1,6,1.7925,-1.8100,-0.1009
1,7,1.9407,-1.8250,0.0000
1,8,2.0906,-1.8250,0.1559
1,9,2.2378,-1.8019,0.6633
1,10,2.3477,-1.7160,0.1408
1,11,2.4946,-1.6951,0.1194
1,12,2.6434,-1.6773,0.0153
1,13,2.7931,-1.6750,0.0000
1,14,2.9430,-1.6750,0.0000
1,15,3.0928,-1.6750,-0.0043
1,16,3.2426,-1.6756,-0.1244
1,17,3.3913,-1.6942,-0.1395
1,18,3.5383,-1.7149,-0.7591
1,19,3.6336,-1.8053,-0.1330
1,20,3.7810,-1.8250,0.0000
1,21,3.9308,-1.8250,0.1733
1,22,4.0771,-1.7994,0.5404
1,23,4.1991,-1.7262,0.4510
1,24,4.3229,-1.6662,0.1022
1,25,4.4720,-1.6510,0.1022
1,26,4.6210,-1.6357,0.0713
1,27,4.7703,-1.6250,0.0000
1,28,4.9202,-1.6250,0.0000
1,29,5.0700,-1.6250,0.0000
1,30,5.2198,-1.6250,0.0000
1,31,5.3697,-1.6250,0.0000
1,32,5.5195,-1.6250,-0.0233
1,33,5.6692,-1.6285,-0.0788
1,34,5.8186,-1.6403,-0.0788
1,35,5.9680,-1.6521,-0.1741
1,36,6.1097,-1.6770,-0.5932
1,37,6.2251,-1.7548,-0.1358
1,38,6.3727,-1.7750,0.0000
1,39,6.5225,-1.7750,0.1577
1,40,6.6691,-1.7517,0.5034
1,41,6.7941,-1.6828,0.4956
1,42,6.9147,-1.6176,0.0950
1,43,7.0639,-1.6034,0.0950
1,44,7.2130,-1.5892,0.0950
1,45,7.3622,-1.5750,0.0002
1,46,7.5120,-1.5750,0.0000
1,47,7.6619,-1.5750,0.0000
1,48,7.8117,-1.5750,0.0000
1,49,7.9616,-1.5750,0.0000
1,50,8.1114,-1.5750,0.0000
1,51,8.2612,-1.5750,-0.0368
1,52,8.4109,-1.5805,-0.0749
1,53,8.5603,-1.5917,-0.0749
1,54,8.7097,-1.6029,-0.2204
1,55,8.8444,-1.6331,-0.6328
1,56,8.9517,-1.7118,-0.0887
1,57,9.0998,-1.7250,0.0000
1,58,9.2496,-1.7250,0.2776
1,59,9.3937,-1.6839,0.6775
1,60,9.5080,-1.5920,0.2144
1,61,9.6500,-1.5611,0.0279
1,62,9.7987,-1.5570,-0.1419
1,63,9.9470,-1.5781,-0.1419
1,64,10.0954,-1.5993,-0.9133
1,65,10.1861,-1.7169,-0.9358
1,66,10.2750,-1.8375,-1.5708
1,67,10.2750,-1.9873,-1.5708
1,68,10.2750,-2.1372,-1.6064
1,69,10.2697,-2.2864,-1.7895
1,70,10.2372,-2.4327,-2.4969
1,71,10.1341,-2.5102,-1.6631
1,72,10.1209,-2.6529,-1.6002
1,73,10.1165,-2.8027,-1.6002
1,74,10.1121,-2.9525,-1.6002
1,75,10.1077,-3.1022,-1.6002
1,76,10.1032,-3.2520,-1.6002
1,77,10.0988,-3.4018,-1.6002
1,78,10.0944,-3.5516,-1.6002
1,79,10.0900,-3.7014,-1.5835
